"x","y","s","event","displayName","jerseyNumber","position","team","frameId","gameId","playId","playDirection","framesaftersnap","jaccardradius"
64.31,25.37,1.72,"None","Derek Carrier",85,"TE","away",24,2020110808,2859,"left",13,2.72
64.14,25.31,1.82,"None","Derek Carrier",85,"TE","away",25,2020110808,2859,"left",14,2.82
63.97,25.24,1.87,"None","Derek Carrier",85,"TE","away",26,2020110808,2859,"left",15,2.87
63.8,25.16,1.88,"None","Derek Carrier",85,"TE","away",27,2020110808,2859,"left",16,2.88
63.64,25.07,1.89,"None","Derek Carrier",85,"TE","away",28,2020110808,2859,"left",17,2.89
63.49,24.98,1.76,"None","Derek Carrier",85,"TE","away",29,2020110808,2859,"left",18,2.76
63.38,24.88,1.55,"None","Derek Carrier",85,"TE","away",30,2020110808,2859,"left",19,2.55
63.27,24.79,1.37,"None","Derek Carrier",85,"TE","away",31,2020110808,2859,"left",20,2.37
63.19,24.71,1.08,"None","Derek Carrier",85,"TE","away",32,2020110808,2859,"left",21,2.08
63.13,24.64,0.87,"None","Derek Carrier",85,"TE","away",33,2020110808,2859,"left",22,1.87
63.1,24.58,0.49,"punt","Derek Carrier",85,"TE","away",34,2020110808,2859,"left",23,1.49
63.12,24.56,0.33,"None","Derek Carrier",85,"TE","away",35,2020110808,2859,"left",24,1.33
63.18,24.57,0.69,"None","Derek Carrier",85,"TE","away",36,2020110808,2859,"left",25,1.69
62.55,26.59,0,"ball_snap","Erik Harris",25,"FS","away",11,2020110808,2859,"left",0,1
62.55,26.58,0,"None","Erik Harris",25,"FS","away",12,2020110808,2859,"left",1,1
62.55,26.58,0,"None","Erik Harris",25,"FS","away",13,2020110808,2859,"left",2,1
62.55,26.58,0,"None","Erik Harris",25,"FS","away",14,2020110808,2859,"left",3,1
62.55,26.59,0,"None","Erik Harris",25,"FS","away",15,2020110808,2859,"left",4,1
62.55,26.59,0.01,"None","Erik Harris",25,"FS","away",16,2020110808,2859,"left",5,1.01
62.55,26.59,0.05,"None","Erik Harris",25,"FS","away",17,2020110808,2859,"left",6,1.05
62.56,26.6,0.13,"None","Erik Harris",25,"FS","away",18,2020110808,2859,"left",7,1.13
62.56,26.62,0.23,"None","Erik Harris",25,"FS","away",19,2020110808,2859,"left",8,1.23
62.56,26.67,0.41,"None","Erik Harris",25,"FS","away",20,2020110808,2859,"left",9,1.41
62.56,26.7,0.48,"None","Erik Harris",25,"FS","away",21,2020110808,2859,"left",10,1.48
62.55,26.75,0.52,"None","Erik Harris",25,"FS","away",22,2020110808,2859,"left",11,1.52
62.55,26.8,0.58,"None","Erik Harris",25,"FS","away",23,2020110808,2859,"left",12,1.58
62.54,26.85,0.53,"None","Erik Harris",25,"FS","away",24,2020110808,2859,"left",13,1.53
62.53,26.9,0.54,"None","Erik Harris",25,"FS","away",25,2020110808,2859,"left",14,1.54
62.5,26.95,0.56,"None","Erik Harris",25,"FS","away",26,2020110808,2859,"left",15,1.56
62.45,27.01,0.75,"None","Erik Harris",25,"FS","away",27,2020110808,2859,"left",16,1.75
62.38,27.06,0.88,"None","Erik Harris",25,"FS","away",28,2020110808,2859,"left",17,1.88
62.3,27.11,1.07,"None","Erik Harris",25,"FS","away",29,2020110808,2859,"left",18,2.07
62.19,27.17,1.25,"None","Erik Harris",25,"FS","away",30,2020110808,2859,"left",19,2.25
62.06,27.22,1.45,"None","Erik Harris",25,"FS","away",31,2020110808,2859,"left",20,2.45
61.89,27.26,1.77,"None","Erik Harris",25,"FS","away",32,2020110808,2859,"left",21,2.77
61.71,27.3,1.92,"None","Erik Harris",25,"FS","away",33,2020110808,2859,"left",22,2.92
61.53,27.32,1.93,"punt","Erik Harris",25,"FS","away",34,2020110808,2859,"left",23,2.93
61.34,27.33,1.99,"None","Erik Harris",25,"FS","away",35,2020110808,2859,"left",24,2.99
61.14,27.34,2,"None","Erik Harris",25,"FS","away",36,2020110808,2859,"left",25,3
67.18,9.72,0,"ball_snap","Nevin Lawson",26,"CB","away",11,2020110808,2859,"left",0,1
67.18,9.72,0,"None","Nevin Lawson",26,"CB","away",12,2020110808,2859,"left",1,1
67.18,9.72,0,"None","Nevin Lawson",26,"CB","away",13,2020110808,2859,"left",2,1
67.19,9.73,0,"None","Nevin Lawson",26,"CB","away",14,2020110808,2859,"left",3,1
67.19,9.73,0.03,"None","Nevin Lawson",26,"CB","away",15,2020110808,2859,"left",4,1.03
67.21,9.73,0.18,"None","Nevin Lawson",26,"CB","away",16,2020110808,2859,"left",5,1.18
67.25,9.73,0.5,"None","Nevin Lawson",26,"CB","away",17,2020110808,2859,"left",6,1.5
67.31,9.73999999999999,0.81,"None","Nevin Lawson",26,"CB","away",18,2020110808,2859,"left",7,1.81
67.41,9.77,1.19,"None","Nevin Lawson",26,"CB","away",19,2020110808,2859,"left",8,2.19
67.54,9.83,1.52,"None","Nevin Lawson",26,"CB","away",20,2020110808,2859,"left",9,2.52
67.7,9.93,1.92,"None","Nevin Lawson",26,"CB","away",21,2020110808,2859,"left",10,2.92
67.88,10.06,2.32,"None","Nevin Lawson",26,"CB","away",22,2020110808,2859,"left",11,3.32
68.08,10.24,2.75,"None","Nevin Lawson",26,"CB","away",23,2020110808,2859,"left",12,3.75
68.29,10.45,3.11,"None","Nevin Lawson",26,"CB","away",24,2020110808,2859,"left",13,4.11
68.52,10.72,3.56,"None","Nevin Lawson",26,"CB","away",25,2020110808,2859,"left",14,4.56
68.76,11.04,4.07,"None","Nevin Lawson",26,"CB","away",26,2020110808,2859,"left",15,5.07
69.02,11.42,4.61,"None","Nevin Lawson",26,"CB","away",27,2020110808,2859,"left",16,5.61
69.29,11.83,5.04,"None","Nevin Lawson",26,"CB","away",28,2020110808,2859,"left",17,6.04
69.59,12.27,5.47,"None","Nevin Lawson",26,"CB","away",29,2020110808,2859,"left",18,6.47
69.91,12.76,5.96,"None","Nevin Lawson",26,"CB","away",30,2020110808,2859,"left",19,6.96
70.27,13.28,6.45,"None","Nevin Lawson",26,"CB","away",31,2020110808,2859,"left",20,7.45
70.66,13.82,6.82,"None","Nevin Lawson",26,"CB","away",32,2020110808,2859,"left",21,7.82
71.09,14.38,7.11,"None","Nevin Lawson",26,"CB","away",33,2020110808,2859,"left",22,8.11
71.54,14.95,7.32,"punt","Nevin Lawson",26,"CB","away",34,2020110808,2859,"left",23,8.32
72.03,15.52,7.56,"None","Nevin Lawson",26,"CB","away",35,2020110808,2859,"left",24,8.56
72.57,16.08,7.8,"None","Nevin Lawson",26,"CB","away",36,2020110808,2859,"left",25,8.8
67.11,29.24,0.01,"ball_snap","Nick Kwiatkoski",44,"ILB","away",11,2020110808,2859,"left",0,1.01
67.1,29.24,0.04,"None","Nick Kwiatkoski",44,"ILB","away",12,2020110808,2859,"left",1,1.04
67.09,29.24,0.14,"None","Nick Kwiatkoski",44,"ILB","away",13,2020110808,2859,"left",2,1.14
67.05,29.25,0.42,"None","Nick Kwiatkoski",44,"ILB","away",14,2020110808,2859,"left",3,1.42
66.98,29.24,0.69,"None","Nick Kwiatkoski",44,"ILB","away",15,2020110808,2859,"left",4,1.69
66.89,29.25,0.99,"None","Nick Kwiatkoski",44,"ILB","away",16,2020110808,2859,"left",5,1.99
66.77,29.24,1.23,"None","Nick Kwiatkoski",44,"ILB","away",17,2020110808,2859,"left",6,2.23
66.63,29.23,1.45,"None","Nick Kwiatkoski",44,"ILB","away",18,2020110808,2859,"left",7,2.45
66.48,29.22,1.65,"None","Nick Kwiatkoski",44,"ILB","away",19,2020110808,2859,"left",8,2.65
66.3,29.21,1.81,"None","Nick Kwiatkoski",44,"ILB","away",20,2020110808,2859,"left",9,2.81
66.12,29.19,1.92,"None","Nick Kwiatkoski",44,"ILB","away",21,2020110808,2859,"left",10,2.92
65.93,29.16,1.91,"None","Nick Kwiatkoski",44,"ILB","away",22,2020110808,2859,"left",11,2.91
65.75,29.13,1.86,"None","Nick Kwiatkoski",44,"ILB","away",23,2020110808,2859,"left",12,2.86
65.58,29.09,1.76,"None","Nick Kwiatkoski",44,"ILB","away",24,2020110808,2859,"left",13,2.76
65.42,29.06,1.57,"None","Nick Kwiatkoski",44,"ILB","away",25,2020110808,2859,"left",14,2.57
65.28,29.03,1.37,"None","Nick Kwiatkoski",44,"ILB","away",26,2020110808,2859,"left",15,2.37
65.16,29.01,1.16,"None","Nick Kwiatkoski",44,"ILB","away",27,2020110808,2859,"left",16,2.16
65.06,28.99,0.95,"None","Nick Kwiatkoski",44,"ILB","away",28,2020110808,2859,"left",17,1.95
64.97,28.97,0.77,"None","Nick Kwiatkoski",44,"ILB","away",29,2020110808,2859,"left",18,1.77
64.91,28.94,0.64,"None","Nick Kwiatkoski",44,"ILB","away",30,2020110808,2859,"left",19,1.64
64.86,28.91,0.51,"None","Nick Kwiatkoski",44,"ILB","away",31,2020110808,2859,"left",20,1.51
64.83,28.87,0.47,"None","Nick Kwiatkoski",44,"ILB","away",32,2020110808,2859,"left",21,1.47
64.83,28.8,0.68,"None","Nick Kwiatkoski",44,"ILB","away",33,2020110808,2859,"left",22,1.68
64.86,28.72,0.93,"punt","Nick Kwiatkoski",44,"ILB","away",34,2020110808,2859,"left",23,1.93
64.89,28.63,1.1,"None","Nick Kwiatkoski",44,"ILB","away",35,2020110808,2859,"left",24,2.1
64.94,28.51,1.36,"None","Nick Kwiatkoski",44,"ILB","away",36,2020110808,2859,"left",25,2.36
66.91,26.3,0,"ball_snap","Raekwon McMillan",54,"ILB","away",11,2020110808,2859,"left",0,1
66.91,26.3,0,"None","Raekwon McMillan",54,"ILB","away",12,2020110808,2859,"left",1,1
66.91,26.3,0,"None","Raekwon McMillan",54,"ILB","away",13,2020110808,2859,"left",2,1
66.9,26.3,0,"None","Raekwon McMillan",54,"ILB","away",14,2020110808,2859,"left",3,1
66.88,26.3,0.02,"None","Raekwon McMillan",54,"ILB","away",15,2020110808,2859,"left",4,1.02
66.87,26.3,0.24,"None","Raekwon McMillan",54,"ILB","away",16,2020110808,2859,"left",5,1.24
66.83,26.3,0.6,"None","Raekwon McMillan",54,"ILB","away",17,2020110808,2859,"left",6,1.6
66.73,26.29,1.17,"None","Raekwon McMillan",54,"ILB","away",18,2020110808,2859,"left",7,2.17
66.6,26.29,1.69,"None","Raekwon McMillan",54,"ILB","away",19,2020110808,2859,"left",8,2.69
66.4,26.28,2.18,"None","Raekwon McMillan",54,"ILB","away",20,2020110808,2859,"left",9,3.18
66.16,26.25,2.62,"None","Raekwon McMillan",54,"ILB","away",21,2020110808,2859,"left",10,3.62
65.88,26.21,2.94,"None","Raekwon McMillan",54,"ILB","away",22,2020110808,2859,"left",11,3.94
65.59,26.17,3.13,"None","Raekwon McMillan",54,"ILB","away",23,2020110808,2859,"left",12,4.13
65.27,26.11,3.29,"None","Raekwon McMillan",54,"ILB","away",24,2020110808,2859,"left",13,4.29
64.95,26.04,3.34,"None","Raekwon McMillan",54,"ILB","away",25,2020110808,2859,"left",14,4.34
64.63,25.97,3.26,"None","Raekwon McMillan",54,"ILB","away",26,2020110808,2859,"left",15,4.26
64.33,25.9,3.08,"None","Raekwon McMillan",54,"ILB","away",27,2020110808,2859,"left",16,4.08
64.04,25.82,2.94,"None","Raekwon McMillan",54,"ILB","away",28,2020110808,2859,"left",17,3.94
63.78,25.75,2.57,"None","Raekwon McMillan",54,"ILB","away",29,2020110808,2859,"left",18,3.57
63.57,25.68,2.13,"None","Raekwon McMillan",54,"ILB","away",30,2020110808,2859,"left",19,3.13
63.4,25.62,1.67,"None","Raekwon McMillan",54,"ILB","away",31,2020110808,2859,"left",20,2.67
63.31,25.57,0.94,"None","Raekwon McMillan",54,"ILB","away",32,2020110808,2859,"left",21,1.94
63.29,25.53,0.4,"None","Raekwon McMillan",54,"ILB","away",33,2020110808,2859,"left",22,1.4
63.34,25.49,0.76,"punt","Raekwon McMillan",54,"ILB","away",34,2020110808,2859,"left",23,1.76
63.45,25.44,1.46,"None","Raekwon McMillan",54,"ILB","away",35,2020110808,2859,"left",24,2.46
63.63,25.4,2.13,"None","Raekwon McMillan",54,"ILB","away",36,2020110808,2859,"left",25,3.13
69.25,33.91,0,"ball_snap","Isaac Rochell",98,"DE","home",11,2020110808,2859,"left",0,1
69.25,33.91,0,"None","Isaac Rochell",98,"DE","home",12,2020110808,2859,"left",1,1
69.24,33.91,0.04,"None","Isaac Rochell",98,"DE","home",13,2020110808,2859,"left",2,1.04
69.22,33.9,0.19,"None","Isaac Rochell",98,"DE","home",14,2020110808,2859,"left",3,1.19
69.17,33.88,0.53,"None","Isaac Rochell",98,"DE","home",15,2020110808,2859,"left",4,1.53
69.07,33.85,0.97,"None","Isaac Rochell",98,"DE","home",16,2020110808,2859,"left",5,1.97
68.92,33.81,1.5,"None","Isaac Rochell",98,"DE","home",17,2020110808,2859,"left",6,2.5
68.69,33.76,2.07,"None","Isaac Rochell",98,"DE","home",18,2020110808,2859,"left",7,3.07
68.43,33.68,2.55,"None","Isaac Rochell",98,"DE","home",19,2020110808,2859,"left",8,3.55
68.14,33.6,2.91,"None","Isaac Rochell",98,"DE","home",20,2020110808,2859,"left",9,3.91
67.79,33.52,3.32,"None","Isaac Rochell",98,"DE","home",21,2020110808,2859,"left",10,4.32
67.39,33.42,3.69,"None","Isaac Rochell",98,"DE","home",22,2020110808,2859,"left",11,4.69
66.99,33.32,3.96,"None","Isaac Rochell",98,"DE","home",23,2020110808,2859,"left",12,4.96
66.54,33.23,4.24,"None","Isaac Rochell",98,"DE","home",24,2020110808,2859,"left",13,5.24
66.11,33.15,4.34,"None","Isaac Rochell",98,"DE","home",25,2020110808,2859,"left",14,5.34
65.67,33.07,4.39,"None","Isaac Rochell",98,"DE","home",26,2020110808,2859,"left",15,5.39
65.24,33,4.32,"None","Isaac Rochell",98,"DE","home",27,2020110808,2859,"left",16,5.32
64.83,32.95,4.15,"None","Isaac Rochell",98,"DE","home",28,2020110808,2859,"left",17,5.15
64.43,32.91,3.93,"None","Isaac Rochell",98,"DE","home",29,2020110808,2859,"left",18,4.93
64.06,32.9,3.63,"None","Isaac Rochell",98,"DE","home",30,2020110808,2859,"left",19,4.63
63.73,32.89,3.21,"None","Isaac Rochell",98,"DE","home",31,2020110808,2859,"left",20,4.21
63.45,32.9,2.75,"None","Isaac Rochell",98,"DE","home",32,2020110808,2859,"left",21,3.75
63.21,32.9,2.26,"None","Isaac Rochell",98,"DE","home",33,2020110808,2859,"left",22,3.26
63.04,32.91,1.63,"punt","Isaac Rochell",98,"DE","home",34,2020110808,2859,"left",23,2.63
62.92,32.91,1.05,"None","Isaac Rochell",98,"DE","home",35,2020110808,2859,"left",24,2.05
62.86,32.91,0.48,"None","Isaac Rochell",98,"DE","home",36,2020110808,2859,"left",25,1.48
66.98,30.22,0,"ball_snap","Nicholas Morrow",50,"OLB","away",11,2020110808,2859,"left",0,1
66.98,30.22,0,"None","Nicholas Morrow",50,"OLB","away",12,2020110808,2859,"left",1,1
66.98,30.22,0,"None","Nicholas Morrow",50,"OLB","away",13,2020110808,2859,"left",2,1
66.97,30.22,0,"None","Nicholas Morrow",50,"OLB","away",14,2020110808,2859,"left",3,1
66.96,30.22,0.02,"None","Nicholas Morrow",50,"OLB","away",15,2020110808,2859,"left",4,1.02
66.94,30.22,0.22,"None","Nicholas Morrow",50,"OLB","away",16,2020110808,2859,"left",5,1.22
66.9,30.23,0.56,"None","Nicholas Morrow",50,"OLB","away",17,2020110808,2859,"left",6,1.56
66.81,30.23,0.99,"None","Nicholas Morrow",50,"OLB","away",18,2020110808,2859,"left",7,1.99
66.69,30.24,1.36,"None","Nicholas Morrow",50,"OLB","away",19,2020110808,2859,"left",8,2.36
66.54,30.25,1.71,"None","Nicholas Morrow",50,"OLB","away",20,2020110808,2859,"left",9,2.71
66.36,30.26,1.96,"None","Nicholas Morrow",50,"OLB","away",21,2020110808,2859,"left",10,2.96
66.17,30.28,2.09,"None","Nicholas Morrow",50,"OLB","away",22,2020110808,2859,"left",11,3.09
65.97,30.29,2.13,"None","Nicholas Morrow",50,"OLB","away",23,2020110808,2859,"left",12,3.13
65.78,30.3,2.03,"None","Nicholas Morrow",50,"OLB","away",24,2020110808,2859,"left",13,3.03
65.59,30.3,1.87,"None","Nicholas Morrow",50,"OLB","away",25,2020110808,2859,"left",14,2.87
65.42,30.31,1.67,"None","Nicholas Morrow",50,"OLB","away",26,2020110808,2859,"left",15,2.67
65.28,30.32,1.42,"None","Nicholas Morrow",50,"OLB","away",27,2020110808,2859,"left",16,2.42
65.15,30.32,1.16,"None","Nicholas Morrow",50,"OLB","away",28,2020110808,2859,"left",17,2.16
65.06,30.34,0.85,"None","Nicholas Morrow",50,"OLB","away",29,2020110808,2859,"left",18,1.85
64.99,30.36,0.64,"None","Nicholas Morrow",50,"OLB","away",30,2020110808,2859,"left",19,1.64
64.95,30.41,0.59,"None","Nicholas Morrow",50,"OLB","away",31,2020110808,2859,"left",20,1.59
64.95,30.48,0.82,"None","Nicholas Morrow",50,"OLB","away",32,2020110808,2859,"left",21,1.82
64.98,30.58,1.29,"None","Nicholas Morrow",50,"OLB","away",33,2020110808,2859,"left",22,2.29
65.04,30.71,1.72,"punt","Nicholas Morrow",50,"OLB","away",34,2020110808,2859,"left",23,2.72
65.15,30.88,2.23,"None","Nicholas Morrow",50,"OLB","away",35,2020110808,2859,"left",24,3.23
65.29,31.09,2.79,"None","Nicholas Morrow",50,"OLB","away",36,2020110808,2859,"left",25,3.79
69.57,10.27,0,"ball_snap","Michael Davis",43,"CB","home",11,2020110808,2859,"left",0,1
69.57,10.27,0,"None","Michael Davis",43,"CB","home",12,2020110808,2859,"left",1,1
69.57,10.27,0,"None","Michael Davis",43,"CB","home",13,2020110808,2859,"left",2,1
69.57,10.27,0,"None","Michael Davis",43,"CB","home",14,2020110808,2859,"left",3,1
69.57,10.27,0,"None","Michael Davis",43,"CB","home",15,2020110808,2859,"left",4,1
69.57,10.27,0.02,"None","Michael Davis",43,"CB","home",16,2020110808,2859,"left",5,1.02
69.57,10.27,0.06,"None","Michael Davis",43,"CB","home",17,2020110808,2859,"left",6,1.06
69.58,10.27,0.12,"None","Michael Davis",43,"CB","home",18,2020110808,2859,"left",7,1.12
69.61,10.28,0.28,"None","Michael Davis",43,"CB","home",19,2020110808,2859,"left",8,1.28
69.65,10.3,0.44,"None","Michael Davis",43,"CB","home",20,2020110808,2859,"left",9,1.44
69.7,10.33,0.62,"None","Michael Davis",43,"CB","home",21,2020110808,2859,"left",10,1.62
69.76,10.38,0.79,"None","Michael Davis",43,"CB","home",22,2020110808,2859,"left",11,1.79
69.83,10.46,1.18,"None","Michael Davis",43,"CB","home",23,2020110808,2859,"left",12,2.18
69.93,10.57,1.57,"None","Michael Davis",43,"CB","home",24,2020110808,2859,"left",13,2.57
70.04,10.71,1.99,"None","Michael Davis",43,"CB","home",25,2020110808,2859,"left",14,2.99
70.17,10.89,2.45,"None","Michael Davis",43,"CB","home",26,2020110808,2859,"left",15,3.45
70.32,11.13,2.98,"None","Michael Davis",43,"CB","home",27,2020110808,2859,"left",16,3.98
70.49,11.41,3.53,"None","Michael Davis",43,"CB","home",28,2020110808,2859,"left",17,4.53
70.69,11.72,4,"None","Michael Davis",43,"CB","home",29,2020110808,2859,"left",18,5
70.93,12.08,4.45,"None","Michael Davis",43,"CB","home",30,2020110808,2859,"left",19,5.45
71.2,12.47,4.93,"None","Michael Davis",43,"CB","home",31,2020110808,2859,"left",20,5.93
71.5,12.89,5.31,"None","Michael Davis",43,"CB","home",32,2020110808,2859,"left",21,6.31
71.83,13.33,5.63,"None","Michael Davis",43,"CB","home",33,2020110808,2859,"left",22,6.63
72.21,13.78,6.02,"punt","Michael Davis",43,"CB","home",34,2020110808,2859,"left",23,7.02
72.63,14.24,6.39,"None","Michael Davis",43,"CB","home",35,2020110808,2859,"left",24,7.39
73.09,14.7,6.69,"None","Michael Davis",43,"CB","home",36,2020110808,2859,"left",25,7.69
68.83,23.52,0,"ball_snap","Uchenna Nwosu",42,"DE","home",11,2020110808,2859,"left",0,1
68.82,23.52,0,"None","Uchenna Nwosu",42,"DE","home",12,2020110808,2859,"left",1,1
68.81,23.52,0.01,"None","Uchenna Nwosu",42,"DE","home",13,2020110808,2859,"left",2,1.01
68.79,23.53,0.11,"None","Uchenna Nwosu",42,"DE","home",14,2020110808,2859,"left",3,1.11
68.75,23.54,0.42,"None","Uchenna Nwosu",42,"DE","home",15,2020110808,2859,"left",4,1.42
68.68,23.57,0.89,"None","Uchenna Nwosu",42,"DE","home",16,2020110808,2859,"left",5,1.89
68.53,23.62,1.45,"None","Uchenna Nwosu",42,"DE","home",17,2020110808,2859,"left",6,2.45
68.29,23.7,2.2,"None","Uchenna Nwosu",42,"DE","home",18,2020110808,2859,"left",7,3.2
68.02,23.78,2.68,"None","Uchenna Nwosu",42,"DE","home",19,2020110808,2859,"left",8,3.68
67.71,23.86,3.16,"None","Uchenna Nwosu",42,"DE","home",20,2020110808,2859,"left",9,4.16
67.38,23.96,3.52,"None","Uchenna Nwosu",42,"DE","home",21,2020110808,2859,"left",10,4.52
66.97,24.06,3.98,"None","Uchenna Nwosu",42,"DE","home",22,2020110808,2859,"left",11,4.98
